"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2023","1,866.33","1,873.96","1,873.98","1,850.80","353.17K","-0.41%"
"Apr 22, 2023","1,873.95","1,848.88","1,886.22","1,845.73","351.72K","1.30%"
"Apr 21, 2023","1,849.81","1,942.72","1,955.35","1,831.47","769.94K","-4.78%"
"Apr 20, 2023","1,942.72","1,935.97","1,977.95","1,917.71","665.65K","0.35%"
"Apr 19, 2023","1,935.97","2,103.36","2,104.31","1,925.00","855.36K","-7.96%"
"Apr 18, 2023","2,103.34","2,074.74","2,121.27","2,056.86","437.10K","1.38%"
"Apr 17, 2023","2,074.74","2,118.61","2,119.18","2,062.17","448.14K","-2.10%"
"Apr 16, 2023","2,119.29","2,090.59","2,137.56","2,073.26","342.43K","1.37%"
"Apr 15, 2023","2,090.59","2,099.98","2,110.30","2,074.33","340.60K","-0.45%"
"Apr 14, 2023","2,099.98","2,012.12","2,127.56","2,009.53","957.03K","4.37%"
"Apr 13, 2023","2,012.11","1,916.59","2,018.73","1,899.96","721.56K","4.98%"
"Apr 12, 2023","1,916.58","1,889.86","1,930.46","1,857.35","669.43K","1.41%"
"Apr 11, 2023","1,889.86","1,910.35","1,935.75","1,884.64","428.26K","-1.07%"
"Apr 10, 2023","1,910.36","1,858.90","1,916.53","1,847.39","457.41K","2.77%"
"Apr 09, 2023","1,858.90","1,848.93","1,871.87","1,825.60","306.40K","0.54%"
"Apr 08, 2023","1,848.93","1,863.45","1,879.11","1,847.72","207.67K","-0.78%"
"Apr 07, 2023","1,863.46","1,872.35","1,882.56","1,844.43","298.77K","-0.47%"
"Apr 06, 2023","1,872.35","1,908.95","1,908.95","1,855.89","420.80K","-1.92%"
"Apr 05, 2023","1,908.96","1,870.52","1,936.10","1,864.64","583.84K","2.05%"
"Apr 04, 2023","1,870.52","1,810.77","1,887.33","1,802.51","658.37K","3.30%"
"Apr 03, 2023","1,810.77","1,795.01","1,838.71","1,764.26","657.58K","0.88%"
"Apr 02, 2023","1,795.01","1,820.78","1,824.32","1,775.81","334.84K","-1.42%"
"Apr 01, 2023","1,820.78","1,821.62","1,840.27","1,811.67","283.39K","-0.05%"
"Mar 31, 2023","1,821.62","1,793.59","1,845.54","1,782.26","579.01K","1.56%"
"Mar 30, 2023","1,793.59","1,793.16","1,828.91","1,766.90","607.74K","0.02%"
"Mar 29, 2023","1,793.27","1,772.64","1,825.01","1,772.64","564.93K","1.16%"
"Mar 28, 2023","1,772.63","1,714.65","1,792.38","1,702.95","561.33K","3.38%"
"Mar 27, 2023","1,714.65","1,773.91","1,780.06","1,691.38","607.00K","-3.35%"
"Mar 26, 2023","1,774.06","1,742.32","1,796.77","1,739.39","371.97K","1.82%"
"Mar 25, 2023","1,742.34","1,749.28","1,761.66","1,714.43","368.84K","-0.40%"
"Mar 24, 2023","1,749.26","1,813.62","1,818.53","1,728.69","602.30K","-3.57%"
"Mar 23, 2023","1,814.08","1,734.32","1,852.48","1,729.38","767.73K","4.59%"
"Mar 22, 2023","1,734.48","1,801.58","1,818.47","1,711.05","933.24K","-3.83%"
"Mar 21, 2023","1,803.54","1,732.32","1,833.12","1,719.55","779.81K","4.11%"
